species,Name,Estimate,s.e.,95%Lower,95%Upper
Lasioglossum (Homalictus) taveuni,Homogeneous (MLE),1.063,0.286,1.002,2.958
Lasioglossum (Homalictus) taveuni,"Chao1 (Chao, 1984)",1,0.2,1,1.464
Lasioglossum (Homalictus) taveuni,Chao1-bc,1,0.2,1,1.464
Lasioglossum (Homalictus) taveuni,iChao1 (Chiu et al. 2014),1,0.2,1,1.464
Lasioglossum (Homalictus) taveuni,"ACE (Chao & Lee, 1992)",1,0.2,1,1.464
Lasioglossum (Homalictus) taveuni,"ACE-1 (Chao & Lee, 1992)",1,0.2,1,1.464
Lasioglossum (Homalictus) taveuni,1st order jackknife,1,0.2,1,1.464
Lasioglossum (Homalictus) taveuni,2nd order jackknife,1,0.2,1,1.464
Lasioglossum (Homalictus) terminalis,Lasioglossum (Homalictus) terminalis,NA,NA,NA,NA
Lasioglossum (Homalictus) terminalis,Homogeneous Model,2,0.153,2,2.329
Lasioglossum (Homalictus) terminalis,Homogeneous (MLE),2.024,0.159,2.001,3.098
Lasioglossum (Homalictus) terminalis,"Chao1 (Chao, 1984)",2,0.153,2,2.329
Lasioglossum (Homalictus) terminalis,Chao1-bc,2,0.153,2,2.329
Lasioglossum (Homalictus) terminalis,iChao1 (Chiu et al. 2014),2,0.153,2,2.329
Lasioglossum (Homalictus) terminalis,"ACE (Chao & Lee, 1992)",2,0.153,2,2.329
Lasioglossum (Homalictus) terminalis,"ACE-1 (Chao & Lee, 1992)",2,0.153,2,2.329
Lasioglossum (Homalictus) terminalis,1st order jackknife,2,0.153,2,2.329
Lasioglossum (Homalictus) terminalis,2nd order jackknife,2,0.153,2,2.329
Lasioglossum (Homalictus) tuiwawae,Lasioglossum (Homalictus) tuiwawae,NA,NA,NA,NA
Lasioglossum (Homalictus) tuiwawae,Homogeneous Model,46,40.472,16.122,221.703
Lasioglossum (Homalictus) tuiwawae,Homogeneous (MLE),10,0.007,10,10.026
Lasioglossum (Homalictus) tuiwawae,"Chao1 (Chao, 1984)",41.736,39.274,14.8,219.842
Lasioglossum (Homalictus) tuiwawae,Chao1-bc,23.884,13.143,12.895,76.581
Lasioglossum (Homalictus) tuiwawae,iChao1 (Chiu et al. 2014),41.736,39.274,14.8,219.842
Lasioglossum (Homalictus) tuiwawae,"ACE (Chao & Lee, 1992)",46,44.065,15.518,244.851
Lasioglossum (Homalictus) tuiwawae,"ACE-1 (Chao & Lee, 1992)",46,47.373,15.047,266.797
Lasioglossum (Homalictus) tuiwawae,1st order jackknife,17.934,3.975,13.138,30.06
Lasioglossum (Homalictus) tuiwawae,2nd order jackknife,24.826,6.855,16.257,45.13
